DCID,DSW,PSW,ASW,StartID,EndID
2,G6_2,P10_2,S22_2,109,116
2,G6_2,P10_2,S23_2,117,124
2,G6_2,P10_2,S24_2,125,131
2,G6_2,P10_2,S25_2,132,139
2,G6_2,P10_2,S26_2,140,147
2,G6_2,P10_2,S27_2,148,154
2,G6_2,P10_2,S28_2,155,159
2,G6_2,P10_2,S29_2,160,167
2,G6_2,P10_2,S3_2,168,175
2,G6_2,P10_2,S30_2,176,183
2,G6_2,P10_2,S31_2,184,191
2,G6_2,P10_2,S32_2,192,199
2,G6_2,P10_2,S33_2,200,205
2,G6_2,P10_2,S34_2,206,211
2,G6_2,P10_2,S35_2,212,218
2,G6_2,P10_2,S36_2,219,226
2,G6_2,P10_2,S37_2,227,232
2,G6_2,P10_2,S38_2,233,240
2,G6_2,P10_2,S39_2,241,248
2,G6_2,P10_2,S4_2,249,256
2,G6_2,P10_2,S40_2,257,264
2,G6_2,P10_2,S41_2,265,272
2,G6_2,P10_2,S42_2,273,280
2,G6_2,P10_2,S43_2,281,287
2,G6_2,P10_2,S44_2,288,290
2,G6_2,P10_2,S45_2,291,298
2,G6_2,P10_2,S46_2,299,305
2,G6_2,P10_2,S47_2,306,313
2,G6_2,P10_2,S48_2,314,321
2,G6_2,P10_2,S5_2,322,329
2,G6_2,P10_2,S6_2,330,337
2,G6_2,P10_2,S7_2,338,345
2,G6_2,P10_2,S8_2,346,353
2,G6_2,P10_2,S9_2,354,361
2,G6_2,P12_2,S1_2,362,368
2,G6_2,P12_2,S10_2,369,374
2,G6_2,P12_2,S11_2,375,381
2,G6_2,P12_2,S12_2,382,389
2,G6_2,P12_2,S13_2,390,397
2,G6_2,P12_2,S14_2,398,402
2,G6_2,P12_2,S15_2,403,410
2,G6_2,P12_2,S16_2,411,418
2,G6_2,P12_2,S17_2,419,426
2,G6_2,P12_2,S18_2,427,432
2,G6_2,P12_2,S19_2,433,440
2,G6_2,P12_2,S2_2,441,448
2,G6_2,P12_2,S20_2,449,456
2,G6_2,P12_2,S21_2,457,464
2,G6_2,P12_2,S22_2,465,472
2,G6_2,P12_2,S23_2,473,480
2,G6_2,P12_2,S24_2,481,487
2,G6_2,P12_2,S25_2,488,495
2,G6_2,P12_2,S26_2,496,503
2,G6_2,P12_2,S27_2,504,511
2,G6_2,P12_2,S28_2,512,519
2,G6_2,P12_2,S29_2,520,527
2,G6_2,P12_2,S3_2,528,535
2,G6_2,P12_2,S30_2,536,543
2,G6_2,P12_2,S31_2,544,551
2,G6_2,P12_2,S32_2,552,559
2,G6_2,P12_2,S33_2,560,561
2,G6_2,P12_2,S34_2,562,563
2,G6_2,P12_2,S35_2,564,570
2,G6_2,P12_2,S36_2,571,577
2,G6_2,P12_2,S37_2,578,585
2,G6_2,P12_2,S38_2,586,591
2,G6_2,P12_2,S39_2,592,598
2,G6_2,P12_2,S4_2,599,606
2,G6_2,P12_2,S40_2,607,613
2,G6_2,P12_2,S41_2,614,619
2,G6_2,P12_2,S42_2,620,627
2,G6_2,P12_2,S5_2,628,635
2,G6_2,P12_2,S6_2,636,643
2,G6_2,P12_2,S7_2,644,651
2,G6_2,P12_2,S8_2,652,659
2,G6_2,P12_2,S9_2,660,667
2,G6_2,P8_2,S1_2,668,675
2,G6_2,P8_2,S10_2,676,681
2,G6_2,P8_2,S11_2,682,688
2,G6_2,P8_2,S12_2,689,692
2,G6_2,P8_2,S13_2,693,699
2,G6_2,P8_2,S14_2,700,705
2,G6_2,P8_2,S15_2,706,711
2,G6_2,P8_2,S17_2,712,718
2,G6_2,P8_2,S18_2,719,726
2,G6_2,P8_2,S19_2,727,731
2,G6_2,P8_2,S2_2,732,739
2,G6_2,P8_2,S21_2,740,744
2,G6_2,P8_2,S22_2,745,748
2,G6_2,P8_2,S23_2,749,754
2,G6_2,P8_2,S26_2,755,762
2,G6_2,P8_2,S27_2,763,769
2,G6_2,P8_2,S28_2,770,774
2,G6_2,P8_2,S29_2,775,779
2,G6_2,P8_2,S3_2,780,785
2,G6_2,P8_2,S30_2,786,790
2,G6_2,P8_2,S31_2,791,796
2,G6_2,P8_2,S32_2,797,802
2,G6_2,P8_2,S33_2,803,804
2,G6_2,P8_2,S4_2,805,811
2,G6_2,P8_2,S5_2,812,817
2,G6_2,P8_2,S6_2,818,824
2,G6_2,P8_2,S7_2,825,832
2,G6_2,P8_2,S8_2,833,839
2,G6_2,P8_2,S9_2,840,846
3,G6_3,P10_3,S1_3,0,7
3,G6_3,P10_3,S10_3,8,15
3,G6_3,P10_3,S11_3,16,23
3,G6_3,P10_3,S12_3,24,31
3,G6_3,P10_3,S13_3,32,39
3,G6_3,P10_3,S14_3,40,47
3,G6_3,P10_3,S15_3,48,55
3,G6_3,P10_3,S16_3,56,63
3,G6_3,P10_3,S17_3,64,71
3,G6_3,P10_3,S18_3,72,79
3,G6_3,P10_3,S19_3,80,87
3,G6_3,P10_3,S2_3,88,94
3,G6_3,P10_3,S20_3,95,101
3,G6_3,P10_3,S21_3,102,108
3,G6_3,P10_3,S22_3,109,116
3,G6_3,P10_3,S23_3,117,124
3,G6_3,P10_3,S24_3,125,131
3,G6_3,P10_3,S25_3,132,139
3,G6_3,P10_3,S26_3,140,147
3,G6_3,P10_3,S27_3,148,154
3,G6_3,P10_3,S28_3,155,159
3,G6_3,P10_3,S29_3,160,167
3,G6_3,P10_3,S3_3,168,175
3,G6_3,P10_3,S30_3,176,183
3,G6_3,P10_3,S31_3,184,191
3,G6_3,P10_3,S32_3,192,199
3,G6_3,P10_3,S33_3,200,205
3,G6_3,P10_3,S34_3,206,211
3,G6_3,P10_3,S35_3,212,218
3,G6_3,P10_3,S36_3,219,226
3,G6_3,P10_3,S37_3,227,232
3,G6_3,P10_3,S38_3,233,240
3,G6_3,P10_3,S39_3,241,248
3,G6_3,P10_3,S4_3,249,256
3,G6_3,P10_3,S40_3,257,264
3,G6_3,P10_3,S41_3,265,272
3,G6_3,P10_3,S42_3,273,280
3,G6_3,P10_3,S43_3,281,287
3,G6_3,P10_3,S44_3,288,290
3,G6_3,P10_3,S45_3,291,298
3,G6_3,P10_3,S46_3,299,305
3,G6_3,P10_3,S47_3,306,313
3,G6_3,P10_3,S48_3,314,321
3,G6_3,P10_3,S5_3,322,329
3,G6_3,P10_3,S6_3,330,337
3,G6_3,P10_3,S7_3,338,345
3,G6_3,P10_3,S8_3,346,353
3,G6_3,P10_3,S9_3,354,361
3,G6_3,P12_3,S1_3,362,368
3,G6_3,P12_3,S10_3,369,374
3,G6_3,P12_3,S11_3,375,381
3,G6_3,P12_3,S12_3,382,389
3,G6_3,P12_3,S13_3,390,397
3,G6_3,P12_3,S14_3,398,402
3,G6_3,P12_3,S15_3,403,410
3,G6_3,P12_3,S16_3,411,418
3,G6_3,P12_3,S17_3,419,426
3,G6_3,P12_3,S18_3,427,432
3,G6_3,P12_3,S19_3,433,440
3,G6_3,P12_3,S2_3,441,448
3,G6_3,P12_3,S20_3,449,456
3,G6_3,P12_3,S21_3,457,464
3,G6_3,P12_3,S22_3,465,472
3,G6_3,P12_3,S23_3,473,480
3,G6_3,P12_3,S24_3,481,487
3,G6_3,P12_3,S25_3,488,495
3,G6_3,P12_3,S26_3,496,503
3,G6_3,P12_3,S27_3,504,511
3,G6_3,P12_3,S28_3,512,519
3,G6_3,P12_3,S29_3,520,527
3,G6_3,P12_3,S3_3,528,535
3,G6_3,P12_3,S30_3,536,543
3,G6_3,P12_3,S31_3,544,551
3,G6_3,P12_3,S32_3,552,559
3,G6_3,P12_3,S33_3,560,561
3,G6_3,P12_3,S34_3,562,563
3,G6_3,P12_3,S35_3,564,570
3,G6_3,P12_3,S36_3,571,577
3,G6_3,P12_3,S37_3,578,585
3,G6_3,P12_3,S38_3,586,591
3,G6_3,P12_3,S39_3,592,598
3,G6_3,P12_3,S4_3,599,606
3,G6_3,P12_3,S40_3,607,613
3,G6_3,P12_3,S41_3,614,619
3,G6_3,P12_3,S42_3,620,627
3,G6_3,P12_3,S5_3,628,635
3,G6_3,P12_3,S6_3,636,643
3,G6_3,P12_3,S7_3,644,651
3,G6_3,P12_3,S8_3,652,659
3,G6_3,P12_3,S9_3,660,667
3,G6_3,P8_3,S1_3,668,675
3,G6_3,P8_3,S10_3,676,681
3,G6_3,P8_3,S11_3,682,688
3,G6_3,P8_3,S12_3,689,692
3,G6_3,P8_3,S13_3,693,699
3,G6_3,P8_3,S14_3,700,705
3,G6_3,P8_3,S15_3,706,711
3,G6_3,P8_3,S17_3,712,718
3,G6_3,P8_3,S18_3,719,726
3,G6_3,P8_3,S19_3,727,731
3,G6_3,P8_3,S2_3,732,739
3,G6_3,P8_3,S21_3,740,744
3,G6_3,P8_3,S22_3,745,748
3,G6_3,P8_3,S23_3,749,754
3,G6_3,P8_3,S26_3,755,762
3,G6_3,P8_3,S27_3,763,769
3,G6_3,P8_3,S28_3,770,774
3,G6_3,P8_3,S29_3,775,779
3,G6_3,P8_3,S3_3,780,785
3,G6_3,P8_3,S30_3,786,790
3,G6_3,P8_3,S31_3,791,796
3,G6_3,P8_3,S32_3,797,802
3,G6_3,P8_3,S33_3,803,804
3,G6_3,P8_3,S4_3,805,811
3,G6_3,P8_3,S5_3,812,817
3,G6_3,P8_3,S6_3,818,824
3,G6_3,P8_3,S7_3,825,832
3,G6_3,P8_3,S8_3,833,839
3,G6_3,P8_3,S9_3,840,846
4,G6_4_0,P10_4_0,S1_4_0,0,7
4,G6_4_0,P10_4_0,S10_4_0,8,15
4,G6_4_0,P10_4_0,S11_4_0,16,23
4,G6_4_0,P10_4_0,S12_4_0,24,31
4,G6_4_0,P10_4_0,S13_4_0,32,39
4,G6_4_0,P10_4_0,S14_4_0,40,47
4,G6_4_0,P10_4_0,S15_4_0,48,55
4,G6_4_0,P10_4_0,S16_4_0,56,63
4,G6_4_0,P10_4_0,S17_4_0,64,71
4,G6_4_0,P10_4_0,S18_4_0,72,79
4,G6_4_0,P10_4_0,S19_4_0,80,87
4,G6_4_0,P10_4_0,S2_4_0,88,94
4,G6_4_0,P10_4_0,S20_4_0,95,101
4,G6_4_0,P10_4_0,S21_4_0,102,108
4,G6_4_0,P10_4_0,S22_4_0,109,116
4,G6_4_0,P10_4_0,S23_4_0,117,124
4,G6_4_0,P10_4_0,S24_4_0,125,131
4,G6_4_0,P10_4_0,S25_4_0,132,139
4,G6_4_0,P10_4_0,S26_4_0,140,147
4,G6_4_0,P10_4_0,S27_4_0,148,154
4,G6_4_0,P10_4_0,S28_4_0,155,159
4,G6_4_0,P10_4_0,S29_4_0,160,167
4,G6_4_0,P10_4_0,S3_4_0,168,175
4,G6_4_0,P10_4_0,S30_4_0,176,183
4,G6_4_0,P10_4_0,S31_4_0,184,191
4,G6_4_0,P10_4_0,S32_4_0,192,199
4,G6_4_0,P10_4_0,S33_4_0,200,205
4,G6_4_0,P10_4_0,S34_4_0,206,211
4,G6_4_0,P10_4_0,S35_4_0,212,218
4,G6_4_0,P10_4_0,S36_4_0,219,226
4,G6_4_0,P10_4_0,S37_4_0,227,232
4,G6_4_0,P10_4_0,S38_4_0,233,240
4,G6_4_0,P10_4_0,S39_4_0,241,248
4,G6_4_0,P10_4_0,S4_4_0,249,256
4,G6_4_0,P10_4_0,S40_4_0,257,264
4,G6_4_0,P10_4_0,S41_4_0,265,272
4,G6_4_0,P10_4_0,S42_4_0,273,280
4,G6_4_0,P10_4_0,S43_4_0,281,287
4,G6_4_0,P10_4_0,S44_4_0,288,290
4,G6_4_0,P10_4_0,S45_4_0,291,298
4,G6_4_0,P10_4_0,S46_4_0,299,305
4,G6_4_0,P10_4_0,S47_4_0,306,313
4,G6_4_0,P10_4_0,S48_4_0,314,321
4,G6_4_0,P10_4_0,S5_4_0,322,329
4,G6_4_0,P10_4_0,S6_4_0,330,337
4,G6_4_0,P10_4_0,S7_4_0,338,345
4,G6_4_0,P10_4_0,S8_4_0,346,353
4,G6_4_0,P10_4_0,S9_4_0,354,361
4,G6_4_0,P12_4_0,S1_4_0,362,368
4,G6_4_0,P12_4_0,S10_4_0,369,374
4,G6_4_0,P12_4_0,S11_4_0,375,381
4,G6_4_0,P12_4_0,S12_4_0,382,389
4,G6_4_0,P12_4_0,S13_4_0,390,397
4,G6_4_0,P12_4_0,S14_4_0,398,402
4,G6_4_0,P12_4_0,S15_4_0,403,410
4,G6_4_0,P12_4_0,S16_4_0,411,418
4,G6_4_0,P12_4_0,S17_4_0,419,426
4,G6_4_0,P12_4_0,S18_4_0,427,432
4,G6_4_0,P12_4_0,S19_4_0,433,440
4,G6_4_0,P12_4_0,S2_4_0,441,448
4,G6_4_0,P12_4_0,S20_4_0,449,456
4,G6_4_0,P12_4_0,S21_4_0,457,464
4,G6_4_0,P12_4_0,S22_4_0,465,472
4,G6_4_0,P12_4_0,S23_4_0,473,480
4,G6_4_0,P12_4_0,S24_4_0,481,487
4,G6_4_0,P12_4_0,S25_4_0,488,495
4,G6_4_0,P12_4_0,S26_4_0,496,503
4,G6_4_0,P12_4_0,S27_4_0,504,511
4,G6_4_0,P12_4_0,S28_4_0,512,519
4,G6_4_0,P12_4_0,S29_4_0,520,527
4,G6_4_0,P12_4_0,S3_4_0,528,535
4,G6_4_0,P12_4_0,S30_4_0,536,543
4,G6_4_0,P12_4_0,S31_4_0,544,551
4,G6_4_0,P12_4_0,S32_4_0,552,559
4,G6_4_0,P12_4_0,S33_4_0,560,561
4,G6_4_0,P12_4_0,S34_4_0,562,563
4,G6_4_0,P12_4_0,S35_4_0,564,570
4,G6_4_0,P12_4_0,S36_4_0,571,577
4,G6_4_0,P12_4_0,S37_4_0,578,585
4,G6_4_0,P12_4_0,S38_4_0,586,591
4,G6_4_0,P12_4_0,S39_4_0,592,598
4,G6_4_0,P12_4_0,S4_4_0,599,606
4,G6_4_0,P12_4_0,S40_4_0,607,613
4,G6_4_0,P12_4_0,S41_4_0,614,619
4,G6_4_0,P12_4_0,S42_4_0,620,627
4,G6_4_0,P12_4_0,S5_4_0,628,635
4,G6_4_0,P12_4_0,S6_4_0,636,643
4,G6_4_0,P12_4_0,S7_4_0,644,651
4,G6_4_0,P12_4_0,S8_4_0,652,659
4,G6_4_0,P12_4_0,S9_4_0,660,667
4,G6_4_0,P8_4_0,S1_4_0,668,675
4,G6_4_0,P8_4_0,S10_4_0,676,681
4,G6_4_0,P8_4_0,S11_4_0,682,688
4,G6_4_0,P8_4_0,S12_4_0,689,692
4,G6_4_0,P8_4_0,S13_4_0,693,699
4,G6_4_0,P8_4_0,S14_4_0,700,705
4,G6_4_0,P8_4_0,S15_4_0,706,711
4,G6_4_0,P8_4_0,S17_4_0,712,718
4,G6_4_0,P8_4_0,S18_4_0,719,726
4,G6_4_0,P8_4_0,S19_4_0,727,731
4,G6_4_0,P8_4_0,S2_4_0,732,739
4,G6_4_0,P8_4_0,S21_4_0,740,744
4,G6_4_0,P8_4_0,S22_4_0,745,748
4,G6_4_0,P8_4_0,S23_4_0,749,754
4,G6_4_0,P8_4_0,S26_4_0,755,762
4,G6_4_0,P8_4_0,S27_4_0,763,769
4,G6_4_0,P8_4_0,S28_4_0,770,774
4,G6_4_0,P8_4_0,S29_4_0,775,779
4,G6_4_0,P8_4_0,S3_4_0,780,785
4,G6_4_0,P8_4_0,S30_4_0,786,790
4,G6_4_0,P8_4_0,S31_4_0,791,796
4,G6_4_0,P8_4_0,S32_4_0,797,802
4,G6_4_0,P8_4_0,S33_4_0,803,804
4,G6_4_0,P8_4_0,S4_4_0,805,811
4,G6_4_0,P8_4_0,S5_4_0,812,817
4,G6_4_0,P8_4_0,S6_4_0,818,824
4,G6_4_0,P8_4_0,S7_4_0,825,832
4,G6_4_0,P8_4_0,S8_4_0,833,839
4,G6_4_0,P8_4_0,S9_4_0,840,846
4,G6_4_1,P10_4_1,S1_4_1,847,854
4,G6_4_1,P10_4_1,S10_4_1,855,862
4,G6_4_1,P10_4_1,S11_4_1,863,870
4,G6_4_1,P10_4_1,S12_4_1,871,878
4,G6_4_1,P10_4_1,S13_4_1,879,886
4,G6_4_1,P10_4_1,S14_4_1,887,894
4,G6_4_1,P10_4_1,S15_4_1,895,902
4,G6_4_1,P10_4_1,S16_4_1,903,910
4,G6_4_1,P10_4_1,S17_4_1,911,918
4,G6_4_1,P10_4_1,S18_4_1,919,926
4,G6_4_1,P10_4_1,S19_4_1,927,934
4,G6_4_1,P10_4_1,S2_4_1,935,941
4,G6_4_1,P10_4_1,S20_4_1,942,948
4,G6_4_1,P10_4_1,S21_4_1,949,955
4,G6_4_1,P10_4_1,S22_4_1,956,963
4,G6_4_1,P10_4_1,S23_4_1,964,971
4,G6_4_1,P10_4_1,S24_4_1,972,978
4,G6_4_1,P10_4_1,S25_4_1,979,986
4,G6_4_1,P10_4_1,S26_4_1,987,994
4,G6_4_1,P10_4_1,S27_4_1,995,1001
4,G6_4_1,P10_4_1,S28_4_1,1002,1006
4,G6_4_1,P10_4_1,S29_4_1,1007,1014
4,G6_4_1,P10_4_1,S3_4_1,1015,1022
4,G6_4_1,P10_4_1,S30_4_1,1023,1030
4,G6_4_1,P10_4_1,S31_4_1,1031,1038
4,G6_4_1,P10_4_1,S32_4_1,1039,1046
4,G6_4_1,P10_4_1,S33_4_1,1047,1052
4,G6_4_1,P10_4_1,S34_4_1,1053,1058
4,G6_4_1,P10_4_1,S35_4_1,1059,1065
4,G6_4_1,P10_4_1,S36_4_1,1066,1073
4,G6_4_1,P10_4_1,S37_4_1,1074,1079
4,G6_4_1,P10_4_1,S38_4_1,1080,1087
4,G6_4_1,P10_4_1,S39_4_1,1088,1095
4,G6_4_1,P10_4_1,S4_4_1,1096,1103
4,G6_4_1,P10_4_1,S40_4_1,1104,1111
4,G6_4_1,P10_4_1,S41_4_1,1112,1119
4,G6_4_1,P10_4_1,S42_4_1,1120,1127
4,G6_4_1,P10_4_1,S43_4_1,1128,1134
4,G6_4_1,P10_4_1,S44_4_1,1135,1137
4,G6_4_1,P10_4_1,S45_4_1,1138,1145
4,G6_4_1,P10_4_1,S46_4_1,1146,1152
4,G6_4_1,P10_4_1,S47_4_1,1153,1160
4,G6_4_1,P10_4_1,S48_4_1,1161,1168
4,G6_4_1,P10_4_1,S5_4_1,1169,1176
4,G6_4_1,P10_4_1,S6_4_1,1177,1184
4,G6_4_1,P10_4_1,S7_4_1,1185,1192
4,G6_4_1,P10_4_1,S8_4_1,1193,1200
4,G6_4_1,P10_4_1,S9_4_1,1201,1208
4,G6_4_1,P12_4_1,S1_4_1,1209,1215
4,G6_4_1,P12_4_1,S10_4_1,1216,1221
4,G6_4_1,P12_4_1,S11_4_1,1222,1228
4,G6_4_1,P12_4_1,S12_4_1,1229,1236
4,G6_4_1,P12_4_1,S13_4_1,1237,1244
4,G6_4_1,P12_4_1,S14_4_1,1245,1249
4,G6_4_1,P12_4_1,S15_4_1,1250,1257
4,G6_4_1,P12_4_1,S16_4_1,1258,1265
4,G6_4_1,P12_4_1,S17_4_1,1266,1273
4,G6_4_1,P12_4_1,S18_4_1,1274,1279
4,G6_4_1,P12_4_1,S19_4_1,1280,1287
4,G6_4_1,P12_4_1,S2_4_1,1288,1295
4,G6_4_1,P12_4_1,S20_4_1,1296,1303
4,G6_4_1,P12_4_1,S21_4_1,1304,1311
4,G6_4_1,P12_4_1,S22_4_1,1312,1319
4,G6_4_1,P12_4_1,S23_4_1,1320,1327
4,G6_4_1,P12_4_1,S24_4_1,1328,1334
4,G6_4_1,P12_4_1,S25_4_1,1335,1342
4,G6_4_1,P12_4_1,S26_4_1,1343,1350
4,G6_4_1,P12_4_1,S27_4_1,1351,1358
4,G6_4_1,P12_4_1,S28_4_1,1359,1366
4,G6_4_1,P12_4_1,S29_4_1,1367,1374
4,G6_4_1,P12_4_1,S3_4_1,1375,1382
4,G6_4_1,P12_4_1,S30_4_1,1383,1390
4,G6_4_1,P12_4_1,S31_4_1,1391,1398
4,G6_4_1,P12_4_1,S32_4_1,1399,1406
4,G6_4_1,P12_4_1,S33_4_1,1407,1408
4,G6_4_1,P12_4_1,S34_4_1,1409,1410
4,G6_4_1,P12_4_1,S35_4_1,1411,1417
4,G6_4_1,P12_4_1,S36_4_1,1418,1424
4,G6_4_1,P12_4_1,S37_4_1,1425,1432
4,G6_4_1,P12_4_1,S38_4_1,1433,1438
4,G6_4_1,P12_4_1,S39_4_1,1439,1445
4,G6_4_1,P12_4_1,S4_4_1,1446,1453
4,G6_4_1,P12_4_1,S40_4_1,1454,1460
4,G6_4_1,P12_4_1,S41_4_1,1461,1466
4,G6_4_1,P12_4_1,S42_4_1,1467,1474
4,G6_4_1,P12_4_1,S5_4_1,1475,1482
4,G6_4_1,P12_4_1,S6_4_1,1483,1490
4,G6_4_1,P12_4_1,S7_4_1,1491,1498
4,G6_4_1,P12_4_1,S8_4_1,1499,1506
4,G6_4_1,P12_4_1,S9_4_1,1507,1514
4,G6_4_1,P8_4_1,S1_4_1,1515,1522
4,G6_4_1,P8_4_1,S10_4_1,1523,1528
4,G6_4_1,P8_4_1,S11_4_1,1529,1535
4,G6_4_1,P8_4_1,S12_4_1,1536,1539
4,G6_4_1,P8_4_1,S13_4_1,1540,1546
4,G6_4_1,P8_4_1,S14_4_1,1547,1552
4,G6_4_1,P8_4_1,S15_4_1,1553,1558
4,G6_4_1,P8_4_1,S17_4_1,1559,1565
4,G6_4_1,P8_4_1,S18_4_1,1566,1573
4,G6_4_1,P8_4_1,S19_4_1,1574,1578
4,G6_4_1,P8_4_1,S2_4_1,1579,1586
4,G6_4_1,P8_4_1,S21_4_1,1587,1591
4,G6_4_1,P8_4_1,S22_4_1,1592,1595
4,G6_4_1,P8_4_1,S23_4_1,1596,1601
4,G6_4_1,P8_4_1,S26_4_1,1602,1609
4,G6_4_1,P8_4_1,S27_4_1,1610,1616
4,G6_4_1,P8_4_1,S28_4_1,1617,1621
4,G6_4_1,P8_4_1,S29_4_1,1622,1626
4,G6_4_1,P8_4_1,S3_4_1,1627,1632
4,G6_4_1,P8_4_1,S30_4_1,1633,1637
4,G6_4_1,P8_4_1,S31_4_1,1638,1643
4,G6_4_1,P8_4_1,S32_4_1,1644,1649
4,G6_4_1,P8_4_1,S33_4_1,1650,1651
4,G6_4_1,P8_4_1,S4_4_1,1652,1658
4,G6_4_1,P8_4_1,S5_4_1,1659,1664
4,G6_4_1,P8_4_1,S6_4_1,1665,1671
4,G6_4_1,P8_4_1,S7_4_1,1672,1679
4,G6_4_1,P8_4_1,S8_4_1,1680,1686
4,G6_4_1,P8_4_1,S9_4_1,1687,1693
